step,Gini,Avg_Poor_Wealth,Avg_Rich_Wealth,Wealth_Ratio,Total_Wealth,Total_Rich_Production,Total_Poor_Earnings
1,0.8688687425331907,5.085166666666668,756.1154999999999,148.69040673855326,16037.64,0,0
2,0.868806872502597,5.104,752.143,147.36344043887146,15961.58,0,0
3,0.8685414938942786,5.104,751.7175,147.28007445141066,15953.07,0,0
4,0.8683847324858103,5.104,747.5919999999999,146.47178683385576,15870.56,0,0
5,0.8675996511521162,5.1240000000000006,743.6265000000001,145.12617096018735,15794.85,0,0
6,0.8677050587166819,5.124,743.3530000000001,145.07279469164718,15789.38,0,0
7,0.867475309003648,5.124,738.9879999999999,144.22092115534738,15702.08,0,0
8,0.8672161976690742,5.135277777777778,734.8455,143.09751717423055,15621.26,0,0
9,0.8673372652314795,5.135277777777778,737.3735,143.5897982365987,15671.82,0,0
10,0.8673918532448821,5.1352777777777785,735.9835,143.31912154486935,15644.02,0,0
11,0.8675912238176502,5.1562777777777775,735.5849999999999,142.65814056220572,15639.83,0,0
12,0.8678979924188888,5.156277777777778,738.9665000000001,143.31394308986887,15707.460000000001,0,0
13,0.8675880275379684,5.1562777777777775,734.7695000000001,142.49998383847094,15623.52,0,0
14,0.8672104060360131,5.1562777777777775,730.729,141.7163759387155,15542.710000000001,0,0
15,0.8672668287212582,5.1562777777777775,730.2865,141.630558219215,15533.86,0,0
16,0.8672568116804951,5.156277777777778,726.1634999999999,140.83095040565433,15451.4,0,0
17,0.867096229252694,5.182777777777778,722.009,139.30927216207525,15373.08,0,0
18,0.8670307674085953,5.203722222222222,721.4795,138.64681264479486,15366.26,0,0
19,0.8673481847003146,5.203722222222222,721.2215,138.59723275006138,15361.1,0,0
20,0.8672213260171728,5.203722222222223,720.6,138.4777990113914,15348.67,0,0
21,0.8671906192422736,5.223722222222222,722.6045,138.33134099779852,15392.36,0,0
22,0.8675180916462089,5.2237222222222215,725.0970000000001,138.8084911780659,15442.210000000001,0,0
23,0.8675032343294462,5.223722222222222,721.3065,138.08285917874653,15366.4,0,0
24,0.867829667161224,5.223722222222222,720.34,137.8978378550842,15347.07,0,0
25,0.8676031827672885,5.223722222222222,719.0180000000001,137.64476161102664,15320.630000000001,0,0
26,0.8674471436119762,5.223722222222222,714.744,136.8265710912823,15235.150000000001,0,0
27,0.8671709496815874,5.223722222222222,710.5720000000001,136.02790687781172,15151.710000000001,0,0
28,0.8673610424539384,5.253222222222223,712.3325000000001,135.59915607352102,15192.230000000001,0,0
29,0.8680099921653237,5.253222222222222,714.7180000000001,136.05325831764634,15239.94,0,0
30,0.8687897272813625,5.269833333333333,721.0925000000001,136.8340238464215,15370.420000000002,0,0
31,0.8686281022107829,5.285055555555555,717.0504999999999,135.67511116250222,15292.320000000002,0,0
32,0.8683307608370496,5.318833333333334,715.98,134.61222699213485,15276.990000000002,0,0
33,0.869254344627312,5.339777777777777,723.2970000000001,135.45451329643353,15427.1,0,0
34,0.8693612668428803,5.3597777777777775,722.2285,134.74970977237865,15409.330000000002,0,0
35,0.8708391415823613,5.380777777777777,731.4265,135.9332293968241,15597.070000000002,0,0
36,0.8709433964088034,5.399055555555556,727.2780000000001,134.70467056995565,15517.390000000001,0,0
37,0.8717211925928403,5.399055555555557,729.1425,135.05000874638566,15554.680000000002,0,0
38,0.8720285176641278,5.399055555555556,728.874,135.0002778263688,15549.310000000001,0,0
39,0.8717644711476673,5.399055555555555,729.5085000000001,135.1177983803752,15562.000000000002,0,0
40,0.8719339622040707,5.433055555555556,736.2135000000001,135.50634490515876,15702.220000000001,0,0
41,0.8726503746865439,5.433055555555556,738.494,135.92609029091466,15747.830000000002,0,0
42,0.8727456691948388,5.446166666666667,742.4655,136.32809009394987,15829.62,0,0
43,0.8726075271718943,5.463166666666666,738.272,135.13627627444401,15748.810000000001,0,0
44,0.8735248050335087,5.463166666666667,743.9165,136.16946825711582,15861.7,0,0
45,0.8741035805329007,5.463166666666667,745.7830000000001,136.5111199243418,15899.03,0,0
46,0.875092819107983,5.463166666666667,756.1075000000001,138.40095793038228,16105.52,0,0
47,0.8749888764051226,5.463166666666666,755.8770000000002,138.35876628329117,16100.910000000002,0,0
48,0.8754803989320221,5.463166666666665,761.8970000000002,139.4606912962568,16221.310000000001,0,0
49,0.8758557953099135,5.476666666666667,763.5095,139.41135118685332,16255.990000000002,0,0
50,0.8761811266151516,5.4766666666666675,767.2355,140.09169202678027,16330.510000000002,0,0
