step,Gini,Avg_Poor_Wealth,Avg_Rich_Wealth,Wealth_Ratio,Total_Wealth,Total_Rich_Production,Total_Poor_Earnings
1,0.8736483343956605,4.825,786.514,163.0080829015544,16598.78,0,0
2,0.8736486578117784,4.825,782.4465000000001,162.16507772020728,16517.43,0,0
3,0.8736100190157452,4.825,778.2625,161.2979274611399,16433.75,0,0
4,0.8738124823763933,4.825,774.0155000000001,160.4177202072539,16348.81,0,0
5,0.8733511253529211,4.868388888888888,769.7515,158.1121635037829,16271.34,0,0
6,0.8734416772874125,4.868388888888888,765.9205000000001,157.32525019684817,16194.72,0,0
7,0.8734401297829881,4.868388888888888,762.4535,156.61310495144414,16125.38,0,0
8,0.8732758618541545,4.868388888888888,758.8145000000001,155.86562974289924,16052.6,0,0
9,0.8725941273190325,4.885166666666667,754.885,154.52594589062127,15977.03,0,0
10,0.8728983865978868,4.899611111111111,757.6874999999998,154.64237524520084,16035.68,0,0
11,0.8733381573157144,4.899611111111111,756.9359999999999,154.48899572528433,16020.65,0,0
12,0.8731161024507657,4.912611111111111,755.7609999999999,153.84099878996233,15999.49,0,0
13,0.8731172581541187,4.9126111111111115,755.0145,153.6890429393737,15984.56,0,0
14,0.8730021230078786,4.912611111111111,753.711,153.42370542933722,15958.49,0,0
15,0.8730131344759291,4.912611111111111,752.7729999999999,153.23276827213408,15939.73,0,0
16,0.8733263265423936,4.912611111111111,752.6324999999998,153.20416841010098,15936.92,0,0
17,0.8735492007559502,4.912611111111111,752.6645,153.2106822576815,15937.56,0,0
18,0.8737283415880273,4.912611111111111,755.5335,153.79468940481982,15994.94,0,0
19,0.8738071266043974,4.912611111111111,751.2565000000001,152.92407296413995,15909.4,0,0
20,0.8736198019042205,4.924222222222222,750.6004999999999,152.43026535493476,15898.369999999999,0,0
21,0.8734512641651897,4.924222222222222,747.0145,151.70202852114264,15826.65,0,0
22,0.8735511320620135,4.946222222222222,754.601,152.5610791625483,15982.34,0,0
23,0.873886747625559,4.946222222222222,756.6725,152.9798836373439,16023.769999999999,0,0
24,0.8741763036378252,4.960666666666667,755.8734999999999,152.37337051471576,16010.39,0,0
25,0.874770356750086,4.9606666666666674,759.1659999999999,153.03709178873802,16076.24,0,0
26,0.8748577026101041,4.9606666666666674,758.004,152.8028490794248,16053.0,0,0
27,0.8746538287262138,4.9606666666666674,757.5725,152.71586480311782,16044.369999999999,0,0
28,0.874580399682207,4.960666666666667,758.392,152.88106437306814,16060.759999999998,0,0
29,0.8745573159685367,4.960666666666667,758.5114999999998,152.905153877167,16063.15,0,0
30,0.874534770589972,4.9606666666666674,758.087,152.8195807015186,16054.66,0,0
31,0.8748420985158891,4.960666666666667,758.798,152.96290821126192,16068.88,0,0
32,0.8749562919890337,4.960666666666667,754.521,152.1007257089101,15983.339999999998,0,0
33,0.8754172872500992,4.9606666666666674,758.6975,152.9426488375218,16066.869999999999,0,0
34,0.8757213560259725,4.9606666666666674,757.9049999999999,152.78289208439722,16051.019999999999,0,0
35,0.8754507782053929,4.9606666666666674,758.3874999999998,152.88015723693047,16060.669999999998,0,0
36,0.8759394981358184,4.9606666666666674,766.0314999999998,154.42107915602736,16213.55,0,0
37,0.8759793326070788,4.976666666666667,765.3025,153.7781312793034,16201.849999999999,0,0
38,0.8761637542829626,4.976666666666667,764.0835,153.5331882116544,16177.47,0,0
39,0.876488443284144,4.998111111111111,765.1519999999998,153.08823333259227,16202.699999999999,0,0
40,0.8767392281707189,4.998111111111111,764.6519999999998,152.9881955405375,16192.699999999999,0,0
41,0.8768986409433743,5.0120555555555555,763.3934999999999,152.31146014609217,16170.039999999999,0,0
42,0.8768892215883812,5.027277777777778,762.7909999999999,151.73042623023284,16160.73,0,0
43,0.8772162092640721,5.041555555555556,767.1304999999999,152.16146912328642,16250.089999999998,0,0
44,0.8770794068324828,5.053000000000001,763.131,151.02533148624576,16172.159999999998,0,0
45,0.8769829896897652,5.064277777777777,762.6959999999998,150.6031133100036,16165.489999999998,0,0
46,0.8773534048571718,5.064277777777777,763.8019999999999,150.82150575380936,16187.609999999999,0,0
47,0.8778646932575154,5.064277777777778,767.245,151.50136577553013,16256.47,0,0
48,0.8777254815923206,5.081,765.5899999999999,150.6770320802991,16226.38,0,0
49,0.8783542131094906,5.0809999999999995,771.8085,151.90090533359577,16350.749999999998,0,0
50,0.8785255840013371,5.081,768.1389999999999,151.17870497933475,16277.359999999999,0,0
