step,Gini,Avg_Poor_Wealth,Avg_Rich_Wealth,Wealth_Ratio,Total_Wealth,Total_Rich_Production,Total_Poor_Earnings
1,0.8699840808185477,4.9275,719.9819999999999,146.11506849315066,15286.59,0,0
2,0.8699093353582572,4.9275,716.175,145.34246575342465,15210.45,0,0
3,0.8699580503871154,4.9275,712.2745000000001,144.55088787417557,15132.44,0,0
4,0.8701717999677074,4.9275,708.141,143.71202435312023,15049.77,0,0
5,0.8698823199326626,4.927499999999999,704.1225,142.896499238965,14969.4,0,0
6,0.8697116995468335,4.9275,700.3009999999999,142.12095383054285,14892.97,0,0
7,0.8692901420013044,4.9275,696.2795,141.30481988838153,14812.54,0,0
8,0.8689505161162423,4.941000000000001,691.993,140.05120420967415,14729.24,0,0
9,0.8686905376935556,4.960055555555555,687.9979999999999,138.70772056764596,14652.77,0,0
10,0.8682440310166879,4.960055555555555,684.064,137.91458429005053,14574.09,0,0
11,0.8681334277917427,4.978277777777778,680.0294999999999,136.59934827974865,14496.68,0,0
12,0.8675830422246253,5.009388888888889,676.2955,135.0055895041533,14427.6,0,0
13,0.8673043591765925,5.009388888888889,678.8824999999999,135.52201976288967,14479.34,0,0
14,0.8673987137419246,5.009388888888889,678.4094999999999,135.42759706772836,14469.88,0,0
15,0.8673133920344935,5.009388888888888,678.297,135.40513923854098,14467.63,0,0
16,0.8674061157722184,5.009388888888889,677.8004999999999,135.30602535239382,14457.7,0,0
17,0.867635792430361,5.030833333333333,678.152,134.7991386450224,14468.59,0,0
18,0.8673483240450535,5.044888888888888,674.2304999999999,133.64625363404105,14392.69,0,0
19,0.8675056879116982,5.044888888888888,676.302,134.05686723636686,14434.12,0,0
20,0.8676224970847217,5.044888888888888,676.6539999999999,134.12664082459696,14441.16,0,0
21,0.8680033779520879,5.044888888888888,679.7394999999999,134.73824993392654,14502.87,0,0
22,0.868588156976329,5.044888888888888,682.3999999999999,135.26561536428508,14556.08,0,0
23,0.8695974470541861,5.044888888888889,689.0024999999999,136.57436569465244,14688.13,0,0
24,0.8694256433003127,5.044888888888889,685.048,135.7905030393798,14609.04,0,0
25,0.8693855388187783,5.044888888888888,681.1065,135.00921724958155,14530.210000000001,0,0
26,0.86979371496704,5.04488888888889,684.266,135.6354946700731,14593.4,0,0
27,0.8699116903571453,5.044888888888889,680.3095,134.85123557395823,14514.27,0,0
28,0.8696723955714571,5.044888888888888,676.549,134.1058276803806,14439.06,0,0
29,0.8699300171841591,5.056944444444444,678.7009999999999,134.21167811040922,14484.27,0,0
30,0.870221273766346,5.0569444444444445,678.647,134.2009997253502,14483.19,0,0
31,0.8713822987168607,5.068333333333333,684.1965,134.99437684972048,14596.23,0,0
32,0.8712419365280961,5.068333333333333,680.3439999999999,134.23426504439328,14519.18,0,0
33,0.8712078610252616,5.068333333333333,676.4155,133.45915817165405,14440.61,0,0
34,0.8712786589488477,5.084333333333333,672.3195,132.23356061102731,14361.57,0,0
35,0.8723941469295498,5.084333333333333,676.7164999999999,133.09837409034287,14449.51,0,0
36,0.8724117285909554,5.084333333333333,677.4225,133.2372320199305,14463.63,0,0
37,0.8728964581702254,5.084333333333333,681.6475,134.0682160886383,14548.13,0,0
38,0.8729339201171264,5.084333333333333,677.5624999999999,133.26476758670424,14466.43,0,0
39,0.8727622777171029,5.084333333333333,676.2095,132.99865600209796,14439.37,0,0
40,0.8737461787593748,5.084333333333333,680.6085,133.86386284665312,14527.35,0,0
41,0.8738548443594043,5.084333333333333,676.514,133.05854585983084,14445.46,0,0
42,0.8763366086157496,5.084333333333333,690.4625,135.80197338228544,14724.43,0,0
43,0.8764352458971791,5.084333333333333,689.345,135.582180554645,14702.08,0,0
44,0.8764934913961702,5.103888888888889,685.251,134.260563840209,14623.72,0,0
45,0.8766568322799848,5.103888888888888,681.1904999999999,133.46499401327964,14542.51,0,0
46,0.876894499717642,5.1211111111111105,681.7090000000001,133.11740073768715,14555.98,0,0
47,0.8775308454318635,5.135166666666667,684.0375,133.2064846970238,14605.08,0,0
48,0.8773676680431206,5.1530555555555555,680.0060000000001,131.961705568433,14527.67,0,0
49,0.8772745655361185,5.167888888888889,676.1325,130.8334050009675,14452.87,0,0
50,0.8782931023495142,5.167888888888889,683.1505000000001,132.19140633398553,14593.23,0,0
